"Address";"IPAddress";"QueryType";"IP4Address";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenteindhoven.nl";"A";"Unicode";"Answer";"4";"1262"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentelburg.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentemmen.nl";"A";"Unicode";"Answer";"4";"1439"
"46.17.6.49";"46.17.6.49";"A";"46.17.6.49";"mail.presentenschede.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentepe-heerde.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentermelo.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentfraneker.nl";"A";"Unicode";"Answer";"4";"871"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentfryslan.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentgeldermalsen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentgouda.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentgroningen.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthaarlem.nl";"A";"Unicode";"Answer";"4";"3030"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthaarlemmermeer.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthardenberg.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentharderwijk.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentharlingen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentheerenveen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentheerhugowaard.nl";"A";"Unicode";"Answer";"4";"1263"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentheerhugowaard-langedijk.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentheerlen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthelmond.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthilversum.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthoekschewaard.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthollandskroon.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthoogeveen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthoorn.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthouten.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presenthss.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentkampen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentleeuwarden.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentleiden.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentlelystad.nl";"A";"Unicode";"Answer";"4";"1263"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentlisse.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentmaassluis.nl";"A";"Unicode";"Answer";"4";"3599"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentmaastricht.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentmeppel.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentmidden-groningen.nl";"A";"Unicode";"Answer";"4";"1439"
"178.79.146.26";"178.79.146.26";"A";"178.79.146.26";"mail.presentnederland.nl";"A";"Unicode";"Answer";"4";"1439"
