"QueryType";"Exchange";"NameExchange";"Preference";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentnoordgroningen.nl";"MX";"Unicode";"Answer";"56";"855"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentnoordoostpolder.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentnoordwestfriesland.nl";"mail.presentnoordwestfriesland.nl";"10";"presentnoordwestfriesland.nl";"MX";"Unicode";"Answer";"84";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentnunspeet.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentnwf-nl.mail.protection.outlook.com";"presentnwf-nl.mail.protection.outlook.com";"0";"presentnwf.nl";"MX";"Unicode";"Answer";"100";"3599"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentoegstgeest.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentoldebroek.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentoldenzaal.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentopsterland.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentpapendrecht-nl.mail.protection.outlook.com";"presentpapendrecht-nl.mail.protection.outlook.com";"0";"presentpapendrecht.nl";"MX";"Unicode";"Answer";"116";"3599"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentparkstad.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentpurmerend.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentputten.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentridderkerk-nl.mail.protection.outlook.com";"presentridderkerk-nl.mail.protection.outlook.com";"10";"presentridderkerk.nl";"MX";"Unicode";"Answer";"114";"856"
"MX";"ALT2.ASPMX.L.GOOGLE.COM";"ALT2.ASPMX.L.GOOGLE.COM";"20";"presentrotterdam.nl";"MX";"Unicode";"Answer";"64";"21599"
"MX";"ASPMX5.GOOGLEMAIL.COM";"ASPMX5.GOOGLEMAIL.COM";"30";"presentrotterdam.nl";"MX";"Unicode";"Answer";"60";"21599"
