"QueryType";"Administrator";"PrimaryServer";"NameAdministrator";"SerialNumber";"TimeToZoneRefresh";"TimeToZoneFailureRetry";"TimeToExpiration";"DefaultTTL";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SOA";"hostmaster.presentgroningen.nl";"ns1-415.axc.nl";"hostmaster.presentgroningen.nl";"2020122817";"3600";"3600";"1209600";"86400";"presentgroningen.nl";"SOA";"Unicode";"Answer";"132";"3599"
"SOA";"hostmaster.presenthaarlem.nl";"ns1-415.axc.nl";"hostmaster.presenthaarlem.nl";"2020122304";"3600";"3600";"1209600";"86400";"presenthaarlem.nl";"SOA";"Unicode";"Answer";"128";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthaarlemmermeer.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthardenberg.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentharderwijk.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2015121700";"14400";"3600";"604800";"3600";"presentharlingen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentheerenveen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentheerhugowaard.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentheerhugowaard-langedijk.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentheerlen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthelmond.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthilversum.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2017102700";"14400";"3600";"604800";"3600";"presenthoekschewaard.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthollandskroon.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthoogeveen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthoorn.nl";"SOA";"Unicode";"Answer";"100";"1439"
